ModelName,OpenVINO,MinTime,MaxTime,MeanTime
MobileNetSmall,True,10.57,37.0,11.75
MobileNetSmall,False,9.64,47.52,13.81
MobileNetLarge,True,22.33,63.66,26.53
MobileNetLarge,False,23.63,61.74,27.0
ResNet,True,75.53,121.56,76.13
ResNet,False,72.30,123.20,80.84
EfficientNet,True,189.48,504.278,207.96
EfficientNet,False,188.72,608.91,252.49
PilotNet,False,12.89,38.25,19.23
