image_name,throttle,steer,brake
1.png,0.75,-0.045016415417194366,0.0
2.png,0.75,-0.04513183981180191,0.0
3.png,0.75,-0.04518955573439598,0.0
4.png,0.75,-0.04524726793169975,0.0
5.png,0.75,-0.045304980129003525,0.0
6.png,0.75,-0.045362696051597595,0.0
7.png,0.75,-0.04542040824890137,0.0
8.png,0.75,-0.04547812044620514,0.0
9.png,0.75,-0.04553583264350891,0.0
10.png,0.75,-0.04559354856610298,0.0
11.png,0.75,-0.04559354856610298,0.0
12.png,0.75,-0.04559354856610298,0.0
13.png,0.75,-0.04559354856610298,0.0
14.png,0.75,-0.04559354856610298,0.0
15.png,0.75,-0.04559354856610298,0.0
16.png,0.75,-0.04559354856610298,0.0
17.png,0.75,-0.04559354856610298,0.0
18.png,0.75,-0.04559354856610298,0.0
19.png,0.75,-0.04559354856610298,0.0
20.png,0.75,-0.04559354856610298,0.0
21.png,0.75,-0.04559354856610298,0.0
22.png,0.75,-0.04559354856610298,0.0
23.png,0.75,-0.04559354856610298,0.0
24.png,0.75,-0.04559354856610298,0.0
25.png,0.75,-0.04559354856610298,0.0
26.png,0.75,-0.04559354856610298,0.0
27.png,0.75,-0.04559354856610298,0.0
28.png,0.75,-0.04559354856610298,0.0
29.png,0.75,-0.04559354856610298,0.0
30.png,0.75,-0.04559354856610298,0.0
31.png,0.75,-0.04559354856610298,0.0
32.png,0.75,-0.04559354856610298,0.0
33.png,0.75,-0.04559354856610298,0.0
34.png,0.75,-0.045471157878637314,0.0
35.png,0.75,-0.04555335268378258,0.0
36.png,0.75,-0.0455533005297184,0.0
37.png,0.75,-0.04555324837565422,0.0
38.png,0.75,-0.04555319622159004,0.0
39.png,0.75,-0.045553144067525864,0.0
40.png,0.75,-0.045553095638751984,0.0
41.png,0.75,-0.045553043484687805,0.0
42.png,0.75,-0.04094986990094185,0.0
43.png,0.75,-0.044041119515895844,0.0
44.png,0.75,-0.04403918609023094,0.0
45.png,0.75,-0.04403725638985634,0.0
46.png,0.75,-0.04403532296419144,0.0
47.png,0.75,-0.044033389538526535,0.0
48.png,0.75,-0.04403145611286163,0.0
49.png,0.75,0.01745491288602352,0.0
50.png,0.75,-0.023834044113755226,0.0
51.png,0.75,-0.023806288838386536,0.0
52.png,0.75,-0.023780465126037598,0.0
53.png,0.75,-0.02375464327633381,0.0
54.png,0.75,-0.02372881956398487,0.0
55.png,0.75,-0.023702995851635933,0.0
56.png,0.75,-0.018075328320264816,0.0
57.png,0.75,-0.02181151695549488,0.0
58.png,0.75,-0.021783340722322464,0.0
59.png,0.75,-0.021780988201498985,0.0
60.png,0.75,-0.021778635680675507,0.0
61.png,0.75,-0.021776283159852028,0.0
62.png,0.75,-0.02177393063902855,0.0
63.png,0.75,-0.014919455163180828,0.0
64.png,0.75,-0.019518759101629257,0.0
65.png,0.75,-0.019513528794050217,0.0
66.png,0.75,-0.019510651007294655,0.0
67.png,0.75,-0.019507773220539093,0.0
68.png,0.75,-0.01950489543378353,0.0
69.png,0.75,-0.01950201764702797,0.0
70.png,0.75,-0.011259069666266441,0.0
71.png,0.75,-0.01678994670510292,0.0
72.png,0.75,-0.016783608123660088,0.0
73.png,0.75,-0.016780147328972816,0.0
74.png,0.75,-0.016776686534285545,0.0
75.png,0.75,-0.016773225739598274,0.0
76.png,0.75,-0.016769764944911003,0.0
77.png,0.75,-0.009376022033393383,0.0
78.png,0.75,-0.014335627667605877,0.0
79.png,0.75,-0.014329063706099987,0.0
80.png,0.75,-0.014325959607958794,0.0
81.png,0.75,-0.0143228555098176,0.0
82.png,0.75,-0.014319752342998981,0.0
83.png,0.75,-0.014316648244857788,0.0
84.png,0.75,-0.007120631635189056,0.0
85.png,0.75,-0.011948047205805779,0.0
86.png,0.75,-0.011941922828555107,0.0
87.png,0.75,-0.011938901618123055,0.0
88.png,0.75,-0.011935880407691002,0.0
89.png,0.75,-0.01193285919725895,0.0
90.png,0.75,-0.011929838918149471,0.0
91.png,0.75,-0.011926817707717419,0.0
92.png,0.75,-0.005147791933268309,0.0
93.png,0.75,-0.009695309214293957,0.0
94.png,0.75,-0.009692463092505932,0.0
